Date,Year,Pros,Cons
2019-09-22,2019,"“Who Provides GREAT ""Chat"" Support?”
Overall: Replaced ACT Contact Management System to provide realtime access to critical data to make decisions and deliver breakthrough support to our customers and vendors.
 Apptivo does! Although it's rare that I've had to use Apptivo ""Chat"" Support. Today, was another example where Naresh went above and beyond to get a Supervisor to fix an important Account Set-up. On a prior Chat call, Apptivo suggested a remote session where the representative quickly identified the Advanced Capabilities required to import a complex database. My company does not sell or represent Apptivo although we are in the enterprise software integration industry. Apptivo sets a new standard of excellence in support that organizations small and large can depend.","Additional pre-built integrations are time savers and Apptivo has more work to do in this area. Professionally, I'd rather have a solid framework of broad core features that is competitively priced than can be used by everyone in the company."
2019-09-19,2019,"“First time CRM user-great customer service ”
Overall: We purchased Apptivo to help with CRM and Project management. Once I get through with the initial set up (which has been no easy feat) I believe it will be a great asset.
 Customer support / MS office integration/Price
",MS office integration needs to be more robust
2019-09-11,2019,"Suitable for small businesses that don't need anything too specific”
 Overall, the platform works for what it is intended for but for businesses who operate differently than that specific parameter, it can be difficult to manipulate the apps to do what you need them to.
 The platform looks nice and easily navigatable and the customer service is wonderful. No matter how simple or difficult my request is, the person I'm working with is polite, friendly, and helpful.","All of the apps are separate so it is restricting to use information that needs to be applied across all three. Additionally, there are many small things that are not available, such as old email integration (having old emails able to be imported to email app) and not being able to bulk transfer/ import leads, customers, or contacts from one to the other. Many things have to be done individually which is difficult.
"
2019-09-06,2019,"“User-friendly, customizable CRM that can scale with us!”
 We were in so many different platforms and apps and I wanted something that could integrate with various cloud apps and automate several processes so we could do more without having to switch apps. Apptivo is very robust, yet fairly simple to configure and implement and when it wasn't simple for me, their team was right there with chat, calls, screen-sharing, whatever I needed to get the job done. Outstanding CS!
 The UI is very user-friendly, it's completely customizable for our industry specifics and the customer support has truly been world-class!
","At first, it was slow in responsiveness, but after their support team cleaned up some things for me and helped me re-configure some automations more efficiently, it's nice and quick now!
"
2019-08-27,2019,"“Exceptional Quality”
 This is the best fully customizable CRM solution we've used that integrates seamlessly with Outlook. The value for the money is exceptional.
 For the price, I haven't found anything like this out there. It is EXTREMELY customizable and the variety of apps, many of which are part of the base service package, is unbelievable.","Every now and then, there are some quirky glitches but on the positive side, client services is always available via chat and they are extremely helpful.
"
2019-08-27,2019,"“Recommended!”
 CRM, Quotations, Invoices. It has solved many of our needs. Very happy with support.
 Very flexible, full suite of business needs. Great customer support.
","Could be a bit more user-friendly regarding the many features that it offers. Explanations of what each function does.
"
2019-08-23,2019,"“Flexible but a little slow and complicated”
 Positive, still learning how we will apply it correctly but happy so far that we will be able to use it to achieve exactly what we want to.
 The flexibility of the software is great. Couldn't find any other software that can do everything we wanted.",It can be slow moving from window to window and the functionality options aren't always clear. The support is great at overcoming the second issue though
2019-08-20,2019,"“Exceptional assistance from Gowmi on recent invoice generation issue”
 Overall, the wide array of software modules and features contained within each have helped us reasonably well over the past couple years to centralize our product and client billing functions.
 Wanted to give a special thank you to Gowmi, who walked us through - and promptly adjusted templates for us relating to - a specialized case in the creation and sending of a partial payment invoice. We depend on Apptivo for most CRM functions, but we often have special case situations that need a deeper dive - and the present case was one of those. Gowmi took all of the time necessary to view my screenshots and descriptions, research the underlying problem, make changes to the templates we were using, and answered all of my follow-up questions. The problem was resolved in a timely manner, and we got the right information to our client as a result. What more can you ask for? Gowmi, thank you very much again!","We are into our 3rd year using the paid version of Apptivo. Over this period of time, we've had a moderate number of chat-based technical support issues that we've tried to resolve. Unfortunately, I've learned that if it gets to the point where the tech support team member is compelled to write a support ticket after exhausting their own team's resources, we typically never hear back again as follow-up to the ticket generation. Beyond that, admin users do not get the benefit of seeing any kind of ""Your current open support tickets and progress"" page that would give us some reassurance that tickets were actually being worked on by the senior support and developer teams. This has been a significant Achilles' heel in an otherwise very functional platform.
"
2019-08-20,2019,"“Unexpectedly good for the low price”
 We are a company from 1994 and when i took over in 2019, they were working as if it still was 1994. In a company i worked for before, it took them 10 years to find the right software. We used apptivo for a week and we knew that this was it. Now our whole business is running on it.
 The fact that the CRM and financial part work very good together.","The app on a tablet is not as extended as in the browser.
"
2019-08-15,2019,"“Exceptional Customer Service”
 I am extremely happy with Apptivo. They always go above and beyond to make Apptivo to suit their Customer's needs. I like the fact that they have Zoom so that you can screen share and talk to technical support at the same time.
 Once setup very user friendly. Love the chat feature. Always quick to respond. Love the analytic feature so that you can see the clicks and more specifically bounced responses. I like that you can edit the master layout to your specifications.","The least that I like is that once a campaign is setup you can't have it as a recurring. Example if I setup a campaign that I want to go out every January 1st - it doesn't have that capability. You have to go back in and reset the date to be sent.
"
2019-08-12,2019,"The ease of setup, in comparison to Salesforce.

","It works for 1 of the 3 things I set it up for. The user interface is not overly intuitive, its too intricate and overly complicated. It does not have a easy flow to it. It feels like trying to make a lot of pieces fit together instead of setting up steps that compliment each other.
"
2019-08-06,2019,"Intuitive, easy to use. Support is quick and effective. Rep is a great Apptivo support tech.
","""Can't think of anything offhand. As a CRM it works well.
"""
2019-08-01,2019,"“Great CRM Software ”
 I have now used Apptivo with two businesses and find it highly functional and easy to adopt.
 Easy to set up, understand and customize.","Takes some e-learning to customize properly but it is easy to accomplish
"
2019-08-01,2019,"this software can provide us to make invoice as like as user want
"," i think, for the flow to make an invoice must be shorten than this way
"
2019-08-01,2019,"“Very good customer support”
 Very fast and qualitative customer support. Sharmi really helped me to make AppTivo easier to use
","Not that easy to use, a lot of features need to be set up at first. maybe some descriptions next to buttons (not in manuals) would be beneficial.
"
2019-07-31,2019,"“Functional, Customize-able, Affordable, and Easy to Use Platform”
 They have been great at answering questions and helping us customize the platform to meet our specific needs. Our CRM web forms are 100% tailored to our operations. We met with nearly a dozen providers and they stood out as the best option and value by a long shot.
 High level of customization, good customer support.
","No major cons with product. Like anything, it takes some playing with to get used to but is generally very simple and intuitive which suits us perfectly."
2019-07-29,2019,"Everything you need”
 This is by far the best CRM/estimating/invoicing/product management/project management software a company could be looking for. It is also the most affordable. You can limit user access, track phone calls, and do so much more all within one platform that is easily accessible from any device with internet.
 Completely customizable Integrates well and all information is easily found
","Can be difficult to navigate if unfamiliar Can be difficult to customize if unfamiliar
"
2019-07-28,2019,"“Good value”
 CRM - Sales management
 All the functionality that one needs in a management consulting business like ours. Good price. Outstanding customer service.
","Like all, it needs time to configure properly.
"
2019-07-02,2019,"“Great alternative to the big boys”
 We were upgrading from paper to digital and looking for an overall solution that would be CRM , Service, Production, Marketing and Apptivo covers these item well.
 This software allows our field service team the ability to write service call reports and expense reports on their phones. Additionally, the project start from kickoff to handover to service is easily tracked and the speed of the service is great. The customization implementation cost is very reasonable. Customer support via chat is fast and they provide an answer usually very quickly.
","Some features are missing little details such as a print feature for expense reports, the response was that the feature has been added to the next upgrade however, not available now.
"
2019-06-28,2019,"It looked simple. It has not proven to be such.
",Not enough detail to make an informed decision before purchase.
2019-06-28,2019,"Overall: Slow. Very pleased with how things work, but it took a little while to get used to the interface. Now that we have been using it for 3 months or so, it has everything we need all in one place.
Pros: The variety of features that cover Sales to Finance. The value of the apps that are offered fits perfectly into our organization.
","It's sometimes hard to find things. I think this will diminish as I use the product more. The biggest frustration is the integration with other products especially O365. I think I have the email down, but calendar is harder than it should be. Using OneDrive only connects to my personal account and I would like to be able to connect it to our O365 sharepoint folders instead.
"
2019-06-24,2019," In general very happy with the product
 Support. Always someone available to help
","It is a big package and takes time to know your way around
"
2019-06-24,2019," organizing Data.
 Data Entering Calendar Description Tags","It needs a serious work shops to get used to it for it's not simple but it's practical.
"
2019-06-23,2019,"OUTSTANDING CUSTOMER SUPPORT EXPERIENCE”
 BREADTH OF FEATURES/FUNCTIONS. ALL-IN-ONE SOLUTION
","UI IS CONFUSING. IN PARTICULAR, IT IS VERY DIFFICULT TO USE SUBTASKS. FUNCTIONALITY APPEARS TO BE QUITE GOOD BUT MUCH OF IT IS NOT INTUITIVE.
"
2019-06-18,2019,"CSR was the dude”
 Lead Follow through
 The organizational abilities, and the follow up function.
","The tiers of accessible content. And the relative lack of polish
"
2019-06-17,2019,"online chat helpful”
 online chat is responsive and helfpul
 very new to Aaptivo. So far I like that I can try it for free while I figure out if I like it for my company.
",a briefer overview tutorial woud be helpful and a flow chart of how one piece links to another would be helpful. IE - when to create a lead vs a customer vs a contact
2019-06-16,2019," all the data is safe in the cloud and accessible from any device anywhere
","if features are not available, they take a very long time to be implemented and feedback is non existent.
"
2019-06-13,2019,"Outstanding Integrated Database Solution”
 Very positive. I love this product.
 Apptivo is very robust and customizable yet provides a positive user experience by recycling the same functionality across all applications. It has been very enjoyable to work with and my users are adapting well to the product.
","I have found a few glitches. Fortunately, the support team has been extremely helpful and pleasant to work with to remedy any issues.
"
2019-06-13,2019,"Customer service is very helpful , by chat or demo's
","learning curve but hopefully be worth it
"
2019-06-11,2019,"Great support”
 Great value for money and customer support.
 Great customer support, online chat and phone support are wonderful
","Need to use it more regularly to get the most out of it.
"
2019-06-07,2019,"Amazing Support!”
 The very best customer service I've ever experienced.
 Very easy to navigate the program and the individual customer files
","I use it for Companies rather than individuals but the design seems to be driven by a persons name or an individual contact. I'd prefer that it lists by company and then every contact and location under that company
"
2019-06-04,2019,"Your Customer Service is Wonderful
 I like the customizability, but I love how helpful your team is to fit the software to our business.
","I think asthetically, it would be nice to change things. The calendar is what we base our business around, and being able to adjust the colors of events would be very helpful."
2019-06-04,2019,"“Great value for money...”
 nice costumer care. All the ones I contacted were really helpful.
 Easy to use, value for money, customer care
","You suddenly deleted the function for emailing invoices without any costumer information - it was suddenly just gone, which forces me to change my billing system completely.
"
2019-05-30,2019,"“Simply the Best”
 We have a business model in which we are essentially the middle-man: we have clients on one end and customers on the other, and their products go through us in-between. Apptivo allows us to easily sort who is who and what project or indication they are associated with through Tags and Categories, as well as allowing us to split contacts into Prospects, Leads, etc. In addition, we also must send out supplies from third-party vendors, so there's a lot of supply and project tracking that, ideally, we would like integrated. Apptivo has the ability to do this through automation and customization, and it is one of the cheapest options to boot! The customer service and support team is very helpful and responsive, a must for when you're starting out with a new database and have lots of questions. Highly recommend Apptivo for small businesses to track and streamline work flow.
Very accessible and great customization, easy to navigate, easy importing from Excel, ability to track email campaigns, add-on and integrate apps for parts of a process, inexpensive, and live support chat within the application
","The interface is not as ""fun"" or attractive as some other online CRMs in the market, but still nice and practical
"
2019-05-30,2019,"Apptivo is very powerful and better than most that I have seen
 David and Faiyaz were fantastic today. Very patient and helpful in helping me understand Apprivo and correct some issues that I had.
","It is a little complicated. But, I will learn it.
"
2019-05-30,2019," I have just received fantastic support from our rep who went out of his way to assist me. He should be congratulated for going above and beyond!!
 Easy to use and intuitive!! I would thoroughly recommend it
","Nothing to complain about, its a great platform
"
2019-05-27,2019,"impact to be business is great. We needed an affordable ERP System and Apptivo fits our needs very well.
 Easy to learn and to use. Excellent on-line support
","None, i works for us without any issues or missing functions. I'd like to see this developed to include a financial model, rather than exporting to another app.
"
